MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2000-11-05,Pacos Ferreira,Sp Braga,4.0,2.0,2.45,2.9,2.75,,,,,,,,
2000-11-05,Salgueiros,Aves,2.0,1.0,1.45,3.6,6.8,,,,,,,,
2000-11-06,Guimaraes,Est Amadora,4.0,0.0,1.6,3.25,5.1,,,,,,,,
2000-11-11,Belenenses,Maritimo,1.0,0.0,1.8,3.2,3.9,,,,,,,,
2000-11-11,Est Amadora,Sp Lisbon,1.0,2.0,5.6,3.5,1.5,,,,,,,,
2000-11-12,Beira Mar,Gil Vicente,1.0,0.0,1.85,3.1,3.8,,,,,,,,
2000-11-12,Pacos Ferreira,Campomaiorense,0.0,1.0,1.5,3.5,5.6,,,,,,,,
2000-11-12,Benfica,Farense,2.0,1.0,1.35,4.0,7.6,,,,,,,,
2000-11-12,Sp Braga,Aves,2.0,0.0,1.4,3.8,7.1,,,,,,,,
2000-11-12,Leiria,Alverca,2.0,0.0,1.8,3.15,3.9,,,,,,,,
2000-11-13,Porto,Salgueiros,5.0,1.0,1.3,4.4,8.0,,,,,,,,
2000-11-14,Boavista,Guimaraes,4.0,1.0,1.45,3.55,6.3,,,,,,,,
2000-11-17,Farense,Belenenses,3.0,1.0,2.35,3.2,2.55,,,,,,,,
2000-11-18,Guimaraes,Benfica,0.0,4.0,2.6,3.4,2.2,,,,,,,,
2000-11-19,Alverca,Est Amadora,3.0,1.0,1.75,3.25,4.1,,,,,,,,
2000-11-19,Aves,Porto,0.0,1.0,5.8,3.4,1.5,,,,,,,,
2000-11-19,Campomaiorense,Sp Braga,1.0,1.0,2.7,3.4,2.2,,,,,,,,
2000-11-19,Gil Vicente,Leiria,2.0,0.0,2.4,3.2,2.5,,,,,,,,
2000-11-19,Maritimo,Pacos Ferreira,1.0,1.0,1.7,3.4,4.1,,,,,,,,
2000-11-19,Salgueiros,Beira Mar,0.0,1.0,1.45,3.6,6.0,,,,,,,,
2000-11-19,Sp Lisbon,Boavista,0.0,0.0,1.55,3.4,5.2,,,,,,,,
2000-12-01,Belenenses,Guimaraes,1.0,0.0,1.65,3.4,4.5,,,,,,,,
2000-12-02,Beira Mar,Aves,1.0,0.0,1.8,3.2,4.0,,,,,,,,
2000-12-02,Sp Braga,Porto,2.0,1.0,3.2,3.0,2.1,,,,,,,,
2000-12-03,Boavista,Alverca,5.0,1.0,1.3,4.4,8.0,,,,,,,,
2000-12-03,Campomaiorense,Maritimo,2.0,2.0,2.35,3.0,2.75,,,,,,,,
2000-12-03,Est Amadora,Gil Vicente,2.0,1.0,2.05,2.8,3.6,,,,,,,,
2000-12-03,Pacos Ferreira,Farense,1.0,1.0,1.95,3.0,3.65,,,,,,,,
2000-12-03,Benfica,Sp Lisbon,3.0,0.0,2.35,3.0,2.8,,,,,,,,
2000-12-03,Leiria,Salgueiros,2.0,1.0,2.1,2.75,3.6,,,,,,,,
2000-12-08,Gil Vicente,Boavista,0.0,2.0,3.8,3.15,1.85,,,,,,,,
2000-12-09,Sp Lisbon,Belenenses,2.0,1.0,1.47,3.55,6.3,,,,,,,,
2000-12-09,Guimaraes,Pacos Ferreira,0.0,1.0,2.0,3.1,3.45,,,,,,,,
2000-12-10,Alverca,Benfica,2.0,1.0,3.8,3.2,1.85,,,,,,,,
2000-12-10,Aves,Leiria,1.0,1.0,2.1,2.95,3.25,,,,,,,,
2000-12-10,Maritimo,Sp Braga,2.0,0.0,2.2,3.1,2.9,,,,,,,,
2000-12-10,Salgueiros,Est Amadora,1.0,0.0,1.4,4.0,6.7,,,,,,,,
2000-12-10,Farense,Campomaiorense,1.0,3.0,1.65,3.35,4.4,,,,,,,,
2000-12-11,Porto,Beira Mar,2.0,0.0,1.2,5.0,10.0,,,,,,,,
2000-12-15,Campomaiorense,Guimaraes,0.0,1.0,2.1,2.8,3.4,,,,,,,,
2000-12-16,Belenenses,Alverca,1.0,0.0,1.5,3.4,6.0,,,,,,,,
2000-12-16,Leiria,Porto,3.0,1.0,4.2,3.3,1.7,,,,,,,,
2000-12-17,Boavista,Salgueiros,5.0,0.0,1.5,3.2,6.0,,,,,,,,
2000-12-17,Est Amadora,Aves,0.0,0.0,1.9,3.1,3.6,,,,,,,,
2000-12-17,Maritimo,Farense,1.0,1.0,1.75,3.2,4.0,,,,,,,,
2000-12-17,Pacos Ferreira,Sp Lisbon,0.0,0.0,3.4,2.8,2.1,,,,,,,,
2000-12-17,Benfica,Gil Vicente,0.0,0.0,1.15,5.8,12.0,,,,,,,,
2000-12-17,Sp Braga,Beira Mar,3.0,3.0,1.5,3.4,6.0,,,,,,,,
2001-01-06,Alverca,Pacos Ferreira,2.0,0.0,2.25,3.0,2.85,,,,,,,,
