fecha,team1,team2,league,market,label,prob,hit,mia,cuota
2026-06-26,Curazao,Costa de Marfil,mundial 2026,BTTS,"Ambos anotan",0.5659,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,BTTS,"No ambos anotan",0.4341,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners totales +10.5",0.2229,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners totales +9.5",0.3308,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners totales +8.5",0.4596,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners totales +7.5",0.5980,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners totales +6.5",0.7302,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners totales +5.5",0.8407,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Curazao +5.5",0.0993,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Curazao +4.5",0.2097,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Curazao +3.5",0.3853,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Curazao +2.5",0.6086,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Curazao +1.5",0.8215,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Costa de Marfil +7.5",0.1584,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Costa de Marfil +6.5",0.2720,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Costa de Marfil +5.5",0.4242,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Costa de Marfil +4.5",0.5988,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Córners,"Córners Costa de Marfil +3.5",0.7657,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"Tiros a puerta totales +11.5",0.2431,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"Tiros a puerta totales +10.5",0.3490,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"Tiros a puerta totales +9.5",0.4721,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"Tiros a puerta totales +8.5",0.6025,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"Tiros a puerta totales +7.5",0.7265,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"Tiros a puerta totales +6.5",0.8315,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Curazao +5.5",0.1008,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Curazao +4.5",0.2122,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Curazao +3.5",0.3885,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Curazao +2.5",0.6116,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Curazao +1.5",0.8234,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Costa de Marfil +8.5",0.1846,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Costa de Marfil +7.5",0.2974,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Costa de Marfil +6.5",0.4408,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Costa de Marfil +5.5",0.6003,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Costa de Marfil +4.5",0.7524,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"T. a puerta Costa de Marfil +3.5",0.8732,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros a puerta,"Curazao tira más a puerta",0.3342,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +26.5",0.2765,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +25.5",0.3466,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +24.5",0.4235,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +23.5",0.5046,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +22.5",0.5865,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +21.5",0.6660,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +20.5",0.7397,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +19.5",0.8049,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros totales +18.5",0.8599,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Curazao +10.5",0.2176,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Curazao +9.5",0.3244,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Curazao +8.5",0.4527,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Curazao +7.5",0.5914,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Curazao +6.5",0.7247,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Curazao +5.5",0.8367,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Costa de Marfil +17.5",0.2857,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Costa de Marfil +16.5",0.3746,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Costa de Marfil +15.5",0.4726,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Costa de Marfil +14.5",0.5745,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Costa de Marfil +13.5",0.6738,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Costa de Marfil +12.5",0.7641,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tiros,"Tiros Costa de Marfil +11.5",0.8403,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tarjetas,"Tarjetas totales +6.5",0.1173,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tarjetas,"Tarjetas totales +5.5",0.2247,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tarjetas,"Tarjetas totales +4.5",0.3834,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tarjetas,"Tarjetas totales +3.5",0.5787,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Tarjetas,"Tarjetas totales +2.5",0.7709,0,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Mitades,"Gol en 1ª parte",0.7455,1,0,
2026-06-26,Curazao,Costa de Marfil,mundial 2026,Mitades,"Gol en 2ª parte",0.7142,1,0,
2026-06-26,Japón,Suecia,mundial 2026,1X2,"Gana Japón",0.5530,0,0,
2026-06-26,Japón,Suecia,mundial 2026,1X2,"Empate",0.2316,1,0,
2026-06-26,Japón,Suecia,mundial 2026,1X2,"Gana Suecia",0.2154,0,0,
2026-06-26,Japón,Suecia,mundial 2026,1X2,"Japón o empate (1X)",0.7846,1,0,
2026-06-26,Japón,Suecia,mundial 2026,1X2,"Suecia o empate (X2)",0.4470,1,0,
2026-06-26,Japón,Suecia,mundial 2026,1X2,"Sin empate (12)",0.7684,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Goles,"Más de 4.5 goles",0.1551,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Goles,"Más de 3.5 goles",0.3123,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Goles,"Más de 2.5 goles",0.5353,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Goles,"Más de 1.5 goles",0.7723,1,0,
2026-06-26,Japón,Suecia,mundial 2026,BTTS,"Ambos anotan",0.5352,1,0,
2026-06-26,Japón,Suecia,mundial 2026,BTTS,"No ambos anotan",0.4648,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners totales +10.5",0.2060,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners totales +9.5",0.3103,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners totales +8.5",0.4374,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners totales +7.5",0.5766,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners totales +6.5",0.7121,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners totales +5.5",0.8276,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Japón +7.5",0.0917,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Japón +6.5",0.1769,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Japón +5.5",0.3076,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Japón +4.5",0.4795,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Japón +3.5",0.6680,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Japón +2.5",0.8332,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Suecia +5.5",0.1633,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Suecia +4.5",0.3037,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Suecia +3.5",0.4960,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Suecia +2.5",0.7065,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Córners,"Córners Suecia +1.5",0.8794,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"Tiros a puerta totales +10.5",0.2088,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"Tiros a puerta totales +9.5",0.3138,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"Tiros a puerta totales +8.5",0.4412,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"Tiros a puerta totales +7.5",0.5803,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"Tiros a puerta totales +6.5",0.7153,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"Tiros a puerta totales +5.5",0.8299,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Japón +6.5",0.1399,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Japón +5.5",0.2573,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Japón +4.5",0.4225,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Japón +3.5",0.6163,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Japón +2.5",0.7980,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Suecia +6.5",0.1084,0,0,
